 summons, call	citatio
arise	surrexi
arise	venio
arise in succession	suborior
arising from	oriundus
arising from, springing from, coming from	oriundus
aristocrat	optimus
aristocratic	generosus
aristocratic party	optimates
arm	armo
armament	telum
armaments	arma
armed	armiger
armed	hostilis
armed retainers	satellites
armistice	indutiae
armlets	armilla
armored	loricatus
armpit	ala
arms	arma
arms	ferrum
arms	telum
arms, weapons	arma
arms-bearer	armiger
army	acies
army	exercitus
around	inter
arouse	accendo
arouse	concito
arouse	erigo
arouse	moti
arouse	motum
arouse	moveo
arouse	sollicito
arouse	suscito
aroused	cito
arrange	colloco
arrange	constituo
arrange	constructum
arrange	construo
arrange	construxi
arrange	decido
arrange	dirigo
arrange	dispono
arrange	incogito
arrange	ordino
arrange	praeparo
arrange	preparo
arranged	expedio
arranged	ordinatus
arranged beforehand	promutuus
arranged, orderly	ordinatus
arrangement	compositio
arrangement	ordinatio
arrangement	positus
arranger	digestor
arranger, composer, one who makes a pattern	digestor
arrest	capio
arrest	comprehendo
arrest	intertio
arrest	prehendo
arrest, seize, take into custody	intertio
arrival	aduentus
arrival	adventum
arrive	advenio
arrive	supervenio
arrive at	adipiscor
arrive at	devenio
arrive unexpectedly	supervenio
arrogance	contumacia
arrogance	ferocia
arrogance	ferocitas
arrogance	flatus
arrogance	superbia
arrogant	celsus
arrogant	elatus
arrogant	ferox
arrogant	superbiens
arrogant	superbus
arrogant	tumidus
arrogantly	ferociter
arrogate	vindico
arrow	calamus
arrow	saggitus
arrow	spiculum
arrow	telum
arrows	saggiti
art	ars
art	artis
art	fabrica
art	professio
artfully	artificialiter
articulation	famen
artifice	simultas
artificial	facticius
artificial, man-made	facticius
artisan	artifex
artisan	faber
artist	artifex
as	cum
as	pro
as	prout
as	quatenus
as	quatinus
as	sicut
as	tamquam
as	tanquam
as	ut
as ... as possible	tam ... quam
as a result	proinde
as best one can	optime
as far as	quod
as far as	tenus
as far as, up to, to, down to	tenus
as great as	quantus
as great as you please	quantuvis
as great as you please, however great	quantuvis
as great as you will	quantuslibet
as great as, as much as	quantus ... quantus
as if	acsi
as if	quasi
as if	tanquam
as if, just as, just as if, as it were /a sort of	quasi
as indeed it is	praeterea
as it were	quasi
as it were	sicut
as long as	donec
as long as	dum
as many	quot
as many as possible	quam plures
as mentioned above	insuper
as much as	quantum
as much as	quantus
as much as in me lies	quantum in me est
as much as you like	quamvis
as much as you will	quantuslibet
as much as you will, as great as you will	quantuslibet
as much of	quantum
as much of ... as	quantum
as of a ruler on a seal	agalmate
as possible	quam
as quickly as possible	quantocius
as quickly as possible	quantocius quantotius
as quickly as possible	quantotius
as soon as	simul atque
as soon as	ubi
as soon as possible	primum
as soon as possible	quam primum
as well	pariter
as yet	etiam
as yet, still / even, also, besides	etiam
as, just as, according to	prout
as, just as, as it were	sicut
as, just as, like as, just as if	tamquam tanquam
ascend	conscendo
ascend	escendo
ascend	scando
ascend	scensi
ascend	scensum
ascertain	comperio
ascertain	experior
ascertain	reperio
ascertain	scisco
ascertained	expertus
ascribe	delego
ascribe	verto in prosperum
Ash Wednesday	caput ieiunius
Ash Wednesday	Cineres
ashamed	verecundor
ashes	cineris
ashes	cinis
ashes, embers	cinis cineris
ask	inquiro
ask	postulo
ask	quaero
ask	quero
ask	rogo
ask	sciscitor
ask	scisco
ask advice	consulo
ask back	repeto
ask earnestly	posco
ask for	peto
ask for	quaeso
ask for	queso
ask for	requiro
ask for	rogo
ask someone to do something	rogo eum ut
ask the advice of	consulto
aspect	facies
aspect	vulticulus
aspect	vultus
assail	circumvenio
assail	incurro
assail	ingruo
assail	insequor
assail	invado
assail	oppugno
assault	eruptio
assault	impetus
assault	impugno
assault	incursio
assault	incursus
assault	ingressus
assault	ingruo
assault	insultus
assault	oppugno
assemble	colligo
assemble	concieo
assemble	concilio
assemble	congrego
assemble	contraho
assembly	celebratio
assembly	concursus
assembly	congregatio
assembly	congressus
assembly	consilium
assembly	conventio
assembly	conventus
assembly	gelamen
assembly	statio
assembly for judgment	placitum
assembly, gathering	gelamen
assembly, society, union	congregatio
assent to	acquiesco
assert	autumo
assert	contendo
assert	firmo
assert	obtestor
assertion	proloquium
assess	censeo
assiduous	industrius
assign	delego
assign	describo
assign	loco
assign	suggero
assign	tribuo
assign to a cause	refero
assigned	attributa
assist	adiuvo
assist	adservio
assist	adsum
assist	iuvo
assist	ministro
assist	proficio
assist	subvenio
assist	succurro
assistance	adiutorium
assistance	adminiculum
assistance	auxilium
assistance	ops
assistance	praesidium
assistance	salus
assistance	subsidium
assistance	suffragium
associate	socius
associate with	coutor
associate with	utor
associated	attributa
associated	socius
association	congressus
assume	sumo
assume	vindico
assurance	fides
assurance	fiducia
assuredly	certe
assuredly	certo
assuredly	scilicet
astonishing	mirus
astonishment	admiratio
astonishment	stupor
astounding	stupendum
at	apud
at	procul
at a distance	eminus
at a distance, from a distance	eminus
at a future time	olim
at a higher price	pluris
at a higher price, of a great value	pluris
at a late hour	sero
at all events	saltem
at another time	alias
at another time	modo
at any rate	utique
at any rate, certainly, at least	utique
at any time	aliquando
at any time	umquam
at any time, sometimes, occasionally, at last	aliquando
at any time?	ecquando
at any time? ever?	ecquando
at each point	utroque
at ease	securus
at first	primo
at first	primum
at first, for the first time, in the first place	primum
at heart	animi
at last	aliquando
at last	denique
at last	tandem
at last, finally	tandem
at last, finally, again, in short	denique
at least	dumtaxat
at least	quidem
at least	saltem
at least	utique
at least, at all events	saltem
at least, not less than / at most, not more than	dumtaxat
at length	copiose
at length	tandem
at length at las	demum
at length at las, finally	demum
at most	dumtaxat
at no time	numquam
at no time, never	numquam
at once	continuo
at once	extemplo
at once	simul
at once	statim
at once, at the same time, together	simul
at one time	modo
at one time	quondam
at one time ... at another	modo...modo
at one time then	nunc quidem
at one time...then	nunc quidem
at that place	illic
at that time	olim
at that time	tum
at that time	tunc
at that time, formerly, once	olim
at that time, then /thereupon, in the next place	tum
at the beginning	primo
at the command of	iussu
at the command of, by order of	iussu
at the highest price	plurimi
at the highest price, of the highest worth	plurimi
at the house of	apud
at the moment	ibidem
at the present time	nunc
at the same time	pariter
at the same time	simul
at the same time	unus
at the start	primo
at the top	primoris
at this time	nunc
at times	interdum
at twilight	inter canem et lupum
at war	belliger
at what price	quanti
atmosphere	aer
atoms	primordia
atonement	piaculum
attach	applico
attach	subiungo
attach	suggero
attach oneself to	incubo
attack	aggredior
attack	bellicum
attack	capio
attack	corripio
attack	decursus
attack	erumpo
attack	eruptio
attack	grassor
attack	impeto
attack	impetus
attack	impugnatio
attack	impugno
attack	incurro
attack	incursio
attack	incurso
attack	incursus
attack	infenso
attack	infesto
attack	ingruo
attack	insequor
attack	insultus
attack	intentio
attack	invado
attack	irruo
attack	lacesso
attack	objurgo
attack	occurro
attack	oppugno
attack	penetro
attack	prosequor
attack	tentatio
attack first	preoccupo
attack, assault	insultus
attack, rush, assault /impulse, sudden passion	impetus
attain	contingo
attain	pervenio
attainment	adeptio
attainment, obtaining, achievement	adeptio
attempt	conor
attempt	inceptum
attempt	molimen
attempt	molior
attempt	rudimentum
attempt	tendo
attempt to show	arguo
attend	famulo
attend	famulor
attend	ministro
attend	prevenire
attend	prosequor
attend	stipo
attend closely to	inhio
attendant	custodis
attendant	custos
attendant	sequax
attendant of a nobleman	stipator
attendants	stipatores
attending	sequax
attention	curatio
attention	famulatus
attention	intentio
attention /medical attention, healing, curing	curatio
attentive	attentus
attentive	curiosus
attentive	officiosus
attentive, careful of one's property	attentus
attentively	dilgenter
attentively, earnestly, carefully, diligently	dilgenter
attic	cenaculum
attire	ornatus
attired	indutus
attract	adverto
attract	delecto
attractions	blanditia
attractiveness	venustas
attribute	delego
auburn	rutilus
audacity	praesumptio
audience	celebratio
augment	adaugeo
augmentation	incrementum
augury	ales
Augustinian	canonus
authenticate	auctorizo
author	artifex
author	auctor
author	scriptor
author, originator	auctor
authoritative	professorius
authority	auctorita
authority	auctoritas
authority	ditio
authority	imperium
authority	potentia
authority	potestas
authority	professor
authority	regnum
authority	sceptrum
authority	vocis
authority	vox
authority, expert	professor
authority, power	auctorita
authorization	licentia
authorize	licentio
autograph	chirographum
auxiliary troops	subsidium
avail	posse
avail	possum
avail	potum
avail for	sufficio
availing	sufficiens
avarice	avaritia
avarice	concupiscentia
avarice	cupiditas
avarice, covetousness	concupiscentia
avarice, greed	avaritia
avaricious	avara
avaricious	avarus
avariciously	avare
avenge	exsequor
avenge	infenso
avenge	punio
avenge	ulciscor
avenge	vindico
avenger	punitor
avenger	ultor
avenger	vindex
avenging	ultio
avenging	ultionis
avenging	ultrix
avenging, punishment, revenge	ultio ultionis
average	mediocris
aversion	fastidium
aversion, loathing	fastidium
avert	averto
avoid	averto
avoid	caveo
avoid	declino
avoid	devito
avoid	evito
avoid	fugio
avoid	parco
avoid	vito
avoid, spare, keep oneself from	parco
avoiding	declinatio
await	exspecto
await	specto
awake	incedo
awaken	evigilo
awaken	excito
awaken	expergefacio
awakening	resurrectio
awakening	suscitatio
award for victory	palma
aware of	conscius
away	absens
away	absentis
away	divello
away from	a
away from	ab
away from	abs
awe	reverentia
awkward	inconcinnus
awkward, clumsy / without elegance / absurd	inconcinnus
awkwardly	laeve
awkwardly	leve
awning	velum
awry	perversa
axe	securis
axe, hatchet, battle-axe	securis
baaing	balatus
babble	garrio
babyhood	infantia
back	rursus
back	tergum
back	tergus
back and forth	commeo
back from now	abhinc
back water	inhibeo
back, rear	tergum
backward	aversus
backwardness	tergiversatio
backwardness, reulctance, evasion	tergiversatio
bad	improbus
bad	malus
bad	nequam
bad	nocens
bad	peior
bad	pessimus
bad	plumbeus
bad deed	facina
bad deed, crime, villainy/ deed, action	facina -oris
bad health	valetudo
bad luck	infelicitas
bad luck	infortunium
bad luck, misfortune	infelicitas
bad, wicked, evil	malus peior pessimus
bad, wicked, injurious, culpable, evil	nocens
badge	insigne
badly	male
badly	peius
badly	pessime
badly	secus
badly, ill, wrongly	male peius pessime
badness	nequitia
badness	nequities
bag	crumens
bag	pera
bag, purse / funds, store of cash	crumens
bailiff	praepositus
bailiff	procurator
bait	esca
balance	libramen
balance	pondera
balance	trutino
balance, equilibrium	pondera
bald	calvus
bald	levis
baldness	calvities
baleful	luctisonus
baleful	pestifer
balm	unguentum
balsam gum	balsamam
balsam tree	balsamam
balsam tree /balsam gum	balsamam
band	fascia
band	limbus
band	manus
band of armed retainers	contubernium
band of warriors	phalanx
bandage	fascia
bandage, band, girdle, girth	fascia
bandit	latro
bandit	latrunculus
banish	expello
banish	pello
banish	pepulli
banish	pulsum
banish	sepono
banished	exterminata
banished	profugus
banishment	exsilium
banking on	fretus
bankrupt	decoctor
banner	vexillum
banquet	daps
banquet	epulae
banquet	epulo
banquet	epulor
banquet	epulum
banter	ludo
banter	lusi
banter	lusum
bar	claustrum
bar	obfirmo
bar	talea
barbarian	barbarus
barbarity	atrocitas
barbarous	inhumanus
barbarously	barbare
barber	tonsor
bard	vates
bare	patesco
barely	vix
bark	crusta
bark	latro
barker	latrator
barking	latratus
barley	hordeum
barley	hordeum; ordeum
barley	ordeum
barley groats	polenta
barren	infecundus
barren	infelix
barren	sterilis
barren, sterile	infecundus
barren, useless, unproductive	sterilis
barrenness	infecunditas
barrenness	macies
barrenness, sterility	infecunditas
barrier	murus
barrier	obex
barter	paciscor
base	basis
base	crepido
base	substructio
base, foundation	substructio
baseness	turpitudo
bashful	vercundus
bashful, modest	vercundus
bashfulness	pudor
bashfulness	verecundia
basic constituent	elementum
basin	lebes
basket	alveus
basket	bascauda
bastard	nothus
bath	balineum
bath	balneum
bath	lauvabrum
bath	lavacrum
bath, bathhouse, bathing-place	balineum  balneum
bath-tub	solium
bathe	lavo
bathed	lautus
bathhouse	balineum
bathhouse	balnearius
bathhouse	balneum
bathing	lavatio
bathing tub	labrum
bathing-place	balineum
bathing-place	balneum
batter	quasso
battle	litis
battle	praelium
battle	proelium
battle	pugna
battle-axe	bipennis
battle-axe	securis
battle-horse	campitor
battle-line	acies
battlefield	acies
battlements	minae
battlements, parapets /threats, menaces	minae
bawl out for	clamito
bay	latro
bay	sinus
bay tree	laurus
be	esse
be	exsisto
be able	evalesco
be advantageous	proficio
be afflicted	laboro
be afflicted with	patior
be afraid	timeo
be afraid of	contremisco
be agreeable to	placeo
be alert	evigilo
be alive	victum
be alive	vivo
be alive	vixi
be astonished at	admiror
be at ease	quiesco
be at war	belligero
be away	absum
be bright	mico
be bright	niteo
be brought to	redeo
be concealed	latito
be condemned to	deputari
be confident of	confido
be deprived of	careo
be destroyed	pereo
be devoted to	inservio
be different	differo
be distinguished	praecello
be done	factus
be done	fieri
be done	fio
be eager for	studio
be effective	valeo
be engaged in	versor
be enough	sufficio
be entitled to	mereo
be entitled to	mereor
be excited by passion	ferveo
be exposed	pateo
be extant	exsto
be favorable to	faveo
be favorable to, aid, support, help	faveo
be firmly placed	insideo
be fond of	amo
be for sale	liceo
be forgotten	effluo
