a body	en kropp
apparatus, contraption	apparat
apparel, clothes, clothing, outfit	kläder
apparent	tydligt
apparition, revelation	uppenbarelse
appeal	appellera
appeal against	överklaga
appeal, appeal, appeal	vädja
appear	infinna sig
appear	inställa sig
appear, outstanding, prominent	framträda
appearance	apparition
appeared	framträdde
appears	framträder
appeasement, calming	lugnande
append, add	lägga till
appendages, appendage	bihang
appendices	bilagor
appendicitis	appendicit
appendicitis	blindtarmsinflammation
appending, adding	adderande
appendix	blindtarm
appendix, supplement, appendix	bilaga
appertain, belong, pertain, belong to	tillhöra
appetite	matlust
appetizer	aptitretande medel
appetizing	aptitlig
appetizing	aptitretande
applause, applaud	applåd
apple tree	apel
apple, jenneting	äpple
apple-cart	ställa till trassel
apple-pie	äppelpaj
apple-sauce	äppelmos
apple-sauce, flattery, blandishment, sawder	smicker
apples	äpplen
appliance, appliances	tillämplighet
applicability, usefulness	användbarhet
applicable, pertinent	tillämplig
application	applikation
application area of use	användningsområde
application for	ansökan
application, enforcement	tillämpning
applicator	påstrykare
applied	använd
applikation, applications	applikationer
apply	tillämpa
apply for	ansöka
apply to	anlita
apply to	applicera
applying	att placera
appoint, nominate, designate	utnämna
appoint, put in, add on	tillsätta
apportion, allot, distribute, dispense	fördela
apposition	apposition
appraise	bestämma värdet av
appreciable, noticable, significant, perceptible	märkbar
appreciated	uppskattat
appreciation, estmation	uppskattning
appreciatively, appreciative, enjoying	uppskattande
apprehend	anhålla
apprehend, perceive, grasp	uppfatta
apprehensible, conceivable	fattbar
apprehension, comprehension, perception	uppfattning
apprehensive	aningsfull
apprentice, apprentice	lärling
apprenticeship	lärlingskap
apprise, notify, inform	underrätta
approach	anflygning
approach	nalkas
approach	närma
approach	närma sig
approached	närmat
approaches	tillfartsvägarna
approaching	annalkande
appropriate	tillgripa
appropriation	avsättning
approval	anklang
approve	bifalla
approved	godkänd
approx	ca
approximate	ungefärlig
approximately	ungefärligt
approximation	approximation
approximation	närmevärde
apricot	aprokos
April	april
apron, chaperon, pinafore, apron, appron	förkläde
apt	läraktig
aptitude testing	anlagsprövning
apéritif	aperitif
aqua vitae	akvavit
aquarium	akvarium
aquatic	vatten-
aqueduct	akvedukt
aqueducts	vattenledningar
aquiline nose	örnnäsa
Arab	arab
Arabic, Arab	arabisk
arable	odlingsbar
arbitrage	arbitrage
arbitrarily	godtyckligt
arbitrary	godtycklig
arbitration, arbitrate	skiljedom
arbour, bower	berså
arcade	arkad
arch of the root	hålfot
arch, curve, bow, arc	båge
archaeological, archealogical	arkeologiska
archaeologists	arkeologer
archaeology	arkeologi
archaic, ancient, oldfashioned	ålderdomlig
archbishop, primate	ärkebiskop
archbishops	ärkebiskopar
arched, vaulted	välvd
archeological	arkeologisk
archeologist	arkeolog
archery	bågskytt
archipelago	arkipelag
archipelago, archipelago	skärgård
architect	arkitekt
architectural	arkitektonisk
architecture	arkitektur
archive, archives	arkiv
archive-name	arkivnamn
archived	arkiverade
archiver	arkiverare
archivers	akiverare
archiving	arkivering
Arctic	arktisk
Ardennes carthorse	ardennerhäst
ardent, fervent	brinnande
ardent, hot	het
ardour, ardour, eagerness, ambition, zeal	iver
are	ar
area	area
area, surface, whine	yta
areas, territories	områden
aren't, ain't, isn't	är inte
arena	arena
arguably	diskutabelt
argue	argumentera
argued	hävdande
argues	argumenterar
argumentative	diskussionslysten
arguments, argument	argument
aria	aria
Arica	Arika
arid, dry, dryness	torr
aridity, infertility	ofruktbarhet
aries	väduren
arise	uppstå
arising	härrörande
aristocracy	aristokrati
aristocrat	aristokrat
aristocratic	aristokratisk
aristotle	aristoteles
arithmetic	mattematik
arithmetic, aritmetic	aritmetik
arithmetical	aritmetisk
ark, sheet, sheet of paper	ark
arm	arm
arm	bestycka
arm	beväpna
arm	väpna
arm, prepare	rusta
arm-chair	karmstol
arm-chair, easy-chair	länstol
armada	armada
armadillo	bältdjur
armageddon	harmageddon
armament	beväpning
armament	igsrustning
armaments	rustningar
armastice	vapenstillestånd
armature, electric fittings	armatur
armed	beväpnad
armistice	stillestånd
armistice, truce	vapenvila
armlet, armband	armbindel
armour, harness	rustning
armpit	armhåla
arms	armar
arms	mn
army	armé
army staff	armestab
army, here	här
arouse	phetsa
arouses	upphetsar
arrange	anordna
arrange	arrangera
arrange for	föranstalta för
arrange, set forth	uppställa
arranged	arrangerat
arrangement	anordnong
arranger	arrangör
arranger`s fee	anvisningsprovision
arranges	arrangerar
arranging	arrangerade
array, marshal	ställa upp
arrays	arrayer
arrear	restskuld
arrears	resterande skulder
arrest	häkta
arrest, apprehension	anhållande
arrest, arrest	arrestera
arrests	anhållanden
arrival	ankomst
arrival hall	ankomsthall
arrive	ankomma
arrive in	anlända till
arrive, countries, lands	länder
arrived	anlände
arrives	anländer
arrogance	arrogans
arrogance, presumption, recklessness	övermod
arrogance, pride	högmod
arrogant, insolent	stursk
arrogant, insolent, inpudent, impertinent	oförskämd
arroganta	arrogant
arrows	pilar
arsenal	arsenal
arsenic	arsenik
arson	mordbrand
art, arts, trick	konst
artefact	artefakt
artery	artär
artery	pulsåder
artful	derfundig
arthritis	artrit
artichoke	jordärtskocka
artichoke	kronärtskocka
article	artikel
articles	artiklar
articulation	artikulation
articulation, vocalize	artikulera
artificial	artificiell
artificial	konstgjord
artificial silk, rayon	konstsilke
artificially	artificiellt
artillery, ordnance	artilleri
artisan, craftsman	hantverkare
artist	artist
artist	konstnär
artistic	artistisk
artistic	konstnärlig
artists	artister
artless	okonstlad
artwork	konstverk
Aryar	arier
as	enär
as	såsom
as a present	till skänks
as far as	såvitt
as far as	ända till
as if	liksom om
as well as	ävensom
as-is	som den är
as.....as	så....som
asbestos	asbest
asbestosis	asbestos
ascend	a
ascending, increasing	ökande
ascent	bestigning
ascent, driveway	uppfart
ascetic	asket
ascii-based	ascii-baserade
ascorbic acid	askorbinsyra
ascribe	tillskriva
asepsis	aseptic
ash, ashes	aska
ash, box	ask
ash-tray	askkopp
ash-wednesday	askonsdag
ashamed	skamsen
ashblond	cendré
ashes, dust	stoft
ashore	på land
ashtray	askfat
asia	asien
asiatic, asian	asiatisk
aside	åsido
aside, aside	avsides
asimut	azimut
ask for	begära
ask for, request for	bedja om
askance	åt sidan
asked	frågat
asks, asking	frågar
asocial, antisocial	asocial
asparagus, aparagus	sparris
aspect	aspekt
aspects	aspekter
aspen tree	asp
asphalt, bitumen	asfalt
aspic	aladåb
aspire	eftersträva
ass, donkey	åsna
ass, tail	stjärt
assailable	antastlig
assailant, aggressor	angripare
assasination, assassination	lönnmord
assassin, assasin	lönnmördare
assassinated	mördad
assassinates	mördar
assault	anstorm
assault, swoop, attack	angrepp
assaults	angriper
assembles, gather	samlas
assemblies	samlingar
assembly hall	aula
assent, approval	bifall
assert	bedyra
assert, contend, suggest, state	påstå
assertion	förfäktande
assertion, statement	påstående
assertions	förfäktanden
asserts	hävdandet av
assess	fastställa värdet av
assess value	taxeringsvärde
assess, assess, rate	taxera
assessment, rating	taxering
assessment, taxation	beskattning
assets	tillgångar
asshur	assur
assign	anslå
assigned	tilldelade
assigner	överlåtare
assigning	tilldelande
assignment, commission	uppdrag
assimilate	assimilera
assist	assistera
assist, help	bistå
assist, help, succour	hjälpa
assistance	assistans
assistance	bistånd
assistant	biträde
assistant doctor	underläkare
assistant, accessary, abettor, helper, aide	medhjälpare
assisted	hjälpte
assits	assisterar
assizes	lagtima ting
associate with	sällskapa med
associate with	umgås med
associate, comrade, fellow, comrade, chum, compeer	kamrat
associate, partner	kompanjon
associated	associerad
associates	kompanjoner
association	association
association, intercourse	umgänge
associations	associationer
assonance	assonans
assorted	av olika slag
assume, presuppose	förutsätta
assumes	förutsätter
assumption, commitment	åtagande
assurance	försäkran
assured, asserted	försäkrade
assures	försäkrar
assuring	försäkrande
Assyria	assyrien
Assyrian	assyrisk
Assyrian's	assyriens
asterisk	asterisk
asterisks	asterisker
asteroid, planetoid	asteroid
asthma	astma
astigmatic	astigmatiker
astir	i rörelse
astonish, amaze	förvåna
astonished, amazed	förvånad
astonished, amazed	häpen
astound	slå med häpnad
astounding, surprisingly, surprising	förvånande
astral	astral
astride	grensle
astrocity	skändlighet
astrologer	astrolog
astrology	astrologi
astronomer	astronom
astronomical	astronomisk
astronomy	astronomi
asunder, separate	åtskild
asylum	asyl
asymmetry	asymmetri
at a stretch	i ett kör
at a stretch	i sträck
at all	alls
at any time	när som helst
at first, firstly, first, initially	först
at hand	till hands
at home	hemma
at last	äntligen
at last, at length	omsider
at present	för närvarande
at present	för tillfället
at the bottom	nederst
at the head	i täten
at the same level as	på samma nivå som
at the top, uppermost, tops	överst
at the utmost	på sin höjd
at the wrong moment	i otid
at, in	i
at, in, with	hos
atheism	ateism
athenian	atensk
athens	aten
athlete	atlet
athlete	idrottsman
athletes	friidrottare
athletics	allmän idrott
atlas	atlas (karta)
atmosphere	atmosfär
atoll	atoll
atom	atom
atone for	umgälla
atrocious, horrid, dire, awful	gräslig
atrophy	atrofiera
attach, tag, allfix, cinch, affix, fix, fasten	fästa
attached	fäst
attached to	fäst vid
attached, affectionate, devoted	tillgiven
attaches	fäster
attaching	hopfästande
attaché	attaché
attack, assail	anfalla
attack, assault	överfalla
attack, mugging	överfall
attack, onset, seizure, thrust, outburst, attacks	anfall
attacking	anfallet
attain	ernå
attain, achieve	uppnå
attainments	talanger
attempt	attentat
attempted	frestad
attempted, tried	försökte
attend	bevista
attend, hear	åhöra
attend, join in, take part in	deltaga
attend, wait upon	uppvakta
attendance	upppassning
attendance	uppvaktning
attention	uppmärksamhet
attentive to	uppmärksam för
attentive, ready, prompt	påpasslig
attestation	attest
attic	vindsvåning
attire	klädsel
attitude	attitud
attitude	ståndpunkt
attitude, configuration, adjustment, preference	inställning
attitudes	attityd
attorney-at-law	juridiskt ombud
attorneys, advocates	advokater
attract	attrahera
attraction, traction	dragningskraft
attractive	attraktiv
attractive	tilldragande
attributable	anses bero på
aubergine	aubergine
auction	auktion
auction	auktionera
auctioneer	auktionsförrättare
auctioneer	auktionsutropare
audacity	djärvhet
audible	hörbar
audience	audiens
audience	auditorium
audience, precedence, advantage, priority	företräde
audience, public	publik
audiences, public's	publikens
audio, sound, sounds	ljud
audio-video	ljud-bild
audiotape	ljudband
audited	reviderade
auditorium	mötessal
auditory	auditiv
August	augusti
auk	alka
auks	alkfåglar
aunt	faster
aunt	moster
aunt	tant
aura	aura
aura, charisma	utstrålning
aureole, halo	gloria
austere, grave, serious, earnest	allvarlig
austere, strict, chaste, severe, string, chord	sträng
Australia	Australien
Australian	australiska
Austria	Österrike
Austria	österrike
Austrian	österrikisk
authentic	autentisk
authentic	verklighetsnära
author's	utgivarens
author, mover, mover	upphovsman
authoress	författarinna
authoritative, officials	officiella
authorities	överhet
authorities, government, authorit	myndighet
authority	auktoritet
authorization, authorization	auktorisation
authorization, justification	berättigande
authorize, empower	bemyndiga
authorizing	godkännandet
authors'	utgivares
authorship	författarskap
autism	autism
autobiography	självbiografi
autoclave	autoklav
autogenous	autogen
autograph	autograf
autograph	namnteckning
automap	autokarta
automate	automatisera
automated	automatiserad
automatic	automatisk
automatic machine	automat
automaticaly, automatically	automatiskt
automobile, motor-car, taxicab, car	bil
automobiles, cars	bilar
autonomous	autonom
autopilot	autopilot
autopsy	autopsi
autorized, certified, authorized, licentiate	auktoriserad
auxiliaries	hjälptrupper
avail	tjäna till
availability, affability	tillgänglighet
available	anträffbar
available, accessible	tillgänglig
avalanche	lavin
avant-garde	avantgarde
avaricious, niggard, greedy, miserly	girig
avenge, revenge, retaliate	hämnas
avenue	allé
avenue	aveny
average	genomsnitt
average	medeltal
averseness	avoghet
aversion	aversion
aversion	ovilja
avert	avvända
aviary	fågelhus
aviation, aeronautic, aero	flyg
avidly	glupskt
avocado	avokado
avoid	sky undan
avoid, avoided, get out of, evade	undvika
avoid, sidestep	väja för
avoids	undviker
await	avvakta
awaited, waited	väntade
awakened	uppväckt
awakening	väckt
award, prize, cost, price	pris
award-winning	prisvinnande
awarded	prisad
away, rid, off	bort
awful	hemskt
awfully	rysligt
awhile	en stund
awkward	brydsamma
awkwardness	obekvämlighet
awl	syl
awning	soltält
awning, sunblind, marquess, marquis	markis
awoke, woke	vaknade
awry, askew, sideways	på sned
axe-handle	yxskaft
axes	yxor
axial	axial
axioms, axiom	axiom
axle	hjul-axel
axle fracture	axelbrott
ayatollah	ayatollah
aye	jaröst
ayes	jaröster
azalea	azalea
azure	himmelsblått
azure-blue	azurblå
b-movies	b-filmer
baba	romdränkt sockerkaksring
babbittry	småborgerlighet
babble	jollra
babble, gaggle, jabber	pladdra
babble, gurgle	sorl
babble, patter	rabbla
babbler, cackler, windbag, chatter-box, talker	pratmakare
babbles	pladdrar
babel	villervalla
baboon	babian
baby	baby
baby-sit	sitta barnvakt
baby-sitter	barnvakt
babyhood, boyhood, infancy, childhood	barndom
Babylonian	babylonisk
Babylonian's	babyloniernas
baccalaureate	kandidatexamen
bacchanalia	backanalier
bacchanalian, bacchanal	backanalisk
bacchante	backant
bacchic	backisk
bacciferous	som har bär
bacciform	bärformig
baccivorous	bärätande
baccy, tobacco	tobak
bachelor	ungkarl
bachelor, nominee, candidate	kandidat
bachelorhood, bachelorship	ungkarlsstånd
bachelors	ungkarlar
bacillary	bacillär
bacillus	bacill
back	rygg
back	rygga
back door, postern	bakdörr
back to front	bakfram
back yard, backyard, dooryard	bakgård
back-and-forth	fram-och-tillbaka
backache	ryggsmärtor
backband	bärrem
backbiter	baktalare
backboard	ryggstöd
backchat	skämtsam replikväxling
backcolor, background-color	bakgrundsfärg
backcolors	bakgrundsfärger
backdoor	bakdörren
backdown, retreat	reträtt
backed-up	uppbackade
backer, helper	hjälpare
backfire	baktändning
background in a room	fond i rum
background, backdrop	bakgrund
backhand	backhand
backhanded	med handryggen
backhander	slag med handryggen
backlog	inneliggande order
backmost	bakerst
backpack, haversack, rucksack, knapsack	ryggsäck
backpocket	bakfickan
backroom	åt gården
backs	backar
backs	baksidor
backside	bak
backslang	rövarspråket
backslapping	ryggdunkande
backslash	omvänt snedtecken
backslider, recreant, apostate	avfälling
backspace	backslag
backspace-key, backspacer	backslagstangent
backspin	underskruv
backstage	bakom kulisserna
backstairs	baktrappa
backstitch	efterstygn
backstreet	bakgata
backstroke	ryggsim
backsword	eneggat svärd
backup	ta kopia
backup-function	backup-funktion
backups	kopior
backward	efterbliven
backward, backwards, aback	bakåt
backwardness	efterblivenhet
backwards, back	tillbaka
backwash	tillbakasvallande våg
backwater	bakvatten
backwoods, outback	obygd
backwoodsman, settler	nybyggare
bacon	sidfläsk
bacon, cheek, ham, buttock	skinka
