-a	egy
dedication	dedikálás
deduce	leszámít
deduce	levon
deduct	leszámít
deduct	levon
deduction	levonás
deduction	következtetés
deductive	levezetô
deed	tett
deed	tény
deep	mély
deep	alapos
deepen	mélyül
deepen	erôsödik
deep-freeze	mélyhûtô
deep-sea	mélytengeri
deeply	mélyen
deepness	mélység
deer	szarvas
deface	elcsúfít
deface	megrongál
defacement	rongálás
defacto	ténylegesen
defalcate	sikkaszt
defalcation	sikkasztás
defalcation	hiány
defamation	rágalmazás
defamation	becsületsértés
default	hiány
default	mulasztás
default	vétség
default	elmulaszt
defeat	vereség
defeat	kudarc
defeat	legyôz
defect	hiányosság
defective	hiányos
defective	hibás
defector	disszidens
defence	védelem
defence	védekezés
defenceless	védtelen
defend	véd
defend	oltalmaz
defender	védô
defense	defence
defensive	védekezô
defer	elhalaszt
defer	alkalmazkodik
defiance	kihívás
defiance	dac
deficiency	hiány
deficiency	deficit
deficient	hiányos
deficit	deficit
deficit	veszteség
defile	hegyszoros
defile	meggyaláz
definable	meghatározható
define	meghatároz
define	körülír
define	értelmez
definite	határozott
definitely	feltétlenül
definitionmeghatározás
definition	definíció
definitive	végleges
definitive	döntô
deflate	leereszt
deflect	elterel
deflect	eltérít
deflect	eltér
deflection	eltérés
deflection	kilengés
defloration	meggyaláz
deform	eltorzít
deformed	eltorzult
deformed	nyomorék
defraud	becsap
defraud	megkárosít
defray	visel (költségeket)
defrost	leolvaszt
deft	fürge
defunct	kihalt
defy	kihív
defy	ellenszegül
degenerate	korcs
degenerate	elfajzik
degenerate	degenerált
degeneration	elkorcsosulás
degradation	lefokozás
degradation	lealacsonyodás
degrade	lefokoz
degrade	lealacsonyít
degrade	gyengít
degrading	megalázó
degree	fok
degree	fokozat
degree	rang
dehydrate	víztelenít
deify	istenít
deign	kegyeskedik
deity	istenség
deject	lehangol
deject	elkedvetlenít
dejected	kedvetlen
dejected	bús
delay	késlekedés
delay	késés
delay	haladék
delay	elhalaszt
delay	késleltet
delayed	késleltetett
delete	töröl
delete	kihúz
deletion	törlés
deletion	áthúzás
deliberate	szándékos
deliberate	megfontolt
deliberate	körültekintô
deliberately	szándékosan
deliberation	megfontolás
deliberation	tanácskozás
delicacy	gyengédség
delicacy	tapintat
delicate	ízletes
delicate	pompás
delicate	tapintatos
delicate	kényes
delicatessen	csemegeüzlet
delicious	gyönyörûséges
delicious	pompás
delight	öröm
delightful	elragadó
delightful	bûbájos
delimit	körülhatárol
delimitation	elhatárolás
delirious	eszelôs
delirious	izgatott
deliver	megszabadít
deliver	kiszolgáltat
deliver	átad
deliver	kézbesít
deliverance	megszabadítás
deliverance	leszállítás
delivery	felszabadítás
delivery	szülés
delivery	kézbesítés
delivery	elôadásmód
delude	becsap
delude	megcsal
deluge	özönvíz
deluge	áradat
deluge	eláraszt
deluge	elönt
delusion	csalás
delusion	megtévesztés
delusive	csalfa
delusive	megtévesztô
demand	követelés
demand	kereslet
demand	igény
demand	követel
demand	igényel
demanding	megerôltetô
demeanour	viselkedés
demented	háborodott
demerit	vétség
demerit	érdemtelenség
demi	fél-
demilitarize	lefegyverez
demise	átruház
demission	lemondás
demo	tüntetés
democracy	demokrácia
demography	demográfia
demolish	lerombol
demolish	lebont
demolition	lebontás
demolition	rombolás
demon	démon
demoniac	ördögi
demonstrate	bizonyít
demonstrate	kimutat
demonstrate	bemutat
demonstration	bizonyítás
demonstration	kimutatás
demonstration	szemléltetés
demonstration	tüntetés
demonstrative	meggyôzô
demote	lefokoz
demur	habozás
demur	akadékoskodás
demur	akadékoskodik
demure	higgadt
den	barlang
den	tanya
deniable	tagadható
denial	tagadás
denial	visszautasítás
denigrate	befeketít
denim	farmervászon
denizen	lakos
denominate	megnevez
denote	mutat
denoted	kifejez
denouement	végkifejlet
dense	sûrû
dense	együgyû
density	sûrûség
density	fajsúly
dent	rovátka
dent	rovátkáz
dental	fogászati
dental	fog-
dentate	fogazott
dentist	fogorvos
denture	fogsor
deny	tagad
deny	visszautasít
deodorant	szagtalanító
deodorize	szagtalanít
depart	elutazik
depart	eltávozik
depart	meghal
depart	eltér
department	osztály
department	minisztérium
departure	elutazás
departure	indulás
departure	eltérés
depend	függ
dependability	függôség
dependable	megbízható
dependant	alattvaló
dependants	cselédség
dependency	tartozék
dependency	gyarmat
dependent	függô
dependent	alárendelt
depict	lefest
depict	ábrázol
deplete	kimerít
deplete	kiürít
deplorable	siralmas
deplorable	szánalomra méltó
deplore	sajnál
deplore	helytelenít
deploy	felvonultat
deplume	megkopaszt
deport	deportál
deportment	viselkedésmód
deposit	letét
deposit	betét
deposit	üledék
depositary	letéteményes
deposition	letétel
deposition	lerakódás
deprave	megront
deprave	lezülleszt
depraved	züllött
depravity	romlottság
deprecate	helytelenít
deprecation	helytelenítés
deprecation	rosszallás
depreciate	leértékel
depreciate	elértéktelenedik
depreciate	becsmérlés
depredation	elértéktelenedés
depredation	értékcsökkenés
depress	lenyom
depress	elcsüggeszt
depress	elkedvetlenít
depressed	lapos
depressed	pangó
depressed	lehangolt
depression	horpadás
depression	lehangoltság
deprive	megfoszt
depth	mélység
depth	vastagság
depute	felhatalmaz
deputy	helyettes
derail	kisiklik
derange	széthány
derange	megzavar
derelict	gazdátlan
derelict	hanyag
dereliction	hanyagság
deride	kigúnyol
deride	kinevet
derision	kicsúfolás
derive	származik
derive	ered
derive	származtat
derogate	csorbít
derogate	csökkent
derogate	derogál
derogation	csökkentés
derogation	becsmérlés
derrick	mozgódaru
derrick	akasztófa
descend	leereszkedik
descend	leszármazik
descendant	leszármazott
descending	lemenô
descending	leszálló
descent	leereszkedés
descent	lejtô
descent	öröklés
describe	leír
describe	ecsetel
description	leírás
description	féle
descriptive	leíró
descry	felfedez
descry	meglát
desecrate	megszentségtelenít
desecration	megszentségtelenítés
desert	sivatag
desert	érdem
deserted	elhagyott
deserted	átpártol
desertion	dezertálás
deserve	érdemel
deserve	kiérdemel
deservedly	megérdemelten
deserving	érdemes
design	tervezet
design	vázlat
design	elgondolás
design	kivitelezés
design	rajzol
deisgn	tervez
designate	kijelöl
designate	jelölt
designation	kijelölés
designation	megnevezés
designation	kinevezés
designedly	szándékosan
designedly	készakarva
designer	tervezô
designer	rajzoló
designer kivitelezô
desirability	kívánatosság
desirable	kívánatos
desire	vágy
desire	kívánság
desire	óhaj
desire	óhajt
desire	vágyik
desirous	vágyódó
desirous	sóvárgó
desk	íróasztal
desk	iskolapad
desk	pénztár
desolate	elhagyatott
desolate	sivár
desolation	kipusztulás
desolation	elnéptelenedés
despair	kétségbeesés
despair	kétségbeesik
desperate	reménytelen
desperate	elszánt
desperation	kétségbeesés
desperation	elszántság
despicable	megvetendô
despicable	alávaló
despise	megvet
despite	ellenére
despite	vmi dacára
despoil	kirabol
despoil	megfoszt
despoil	kifoszt
despondent	csüggedt
despondent	levert
dessert	desszert
destiantion	rendeltetésihely
destination	célállomás
destine	szán
destiny	sors
destiny	végzet
destiny	rendeltetés
destroy	pusztít
destroy	megsemmisít
destroy	rombol
destroyer	romboló
destruction	rombolás
destruction	pusztítás
destructive	pusztító
destructive	ártalmas
detach	elválaszt
detach	levállaszt
detached	különálló
detachment	leválasztás
detachment	elkülönülés
detail	részlet
detail	részletez
detailed	részletes
detailed	kimeritô
detain	fogva tart
detain	visszatart
detainee	ôrizetes
detect	kinyomoz
detect	észlel
detectable	észlelhetô
detection	kiderítés
detection	kinyomozás
detection	érzékelés
detective	nyomozó
detective	detektív
detention	visszatartás
detention	fogvatartás
deter	elrettent
detergent	mosószer
detergent	tisztítószer
deteriorate	megront
determinable	meghatározható
determinate	határozott
determination	meghatározás
determination	elhatározás
determine	meghatároz
determine	eldönt
determine	határoz
determined	elszánt
deterrent	elrettentô dolog
detest	utál
detestable	utálatos
detestation	utálat
dethronement	trónfosztás
detonate	robban
detonation	robbanás
detour	kerülô
detour	terelôút
detour	elterel
detract	levon
detriment	kár
detriment	hátrány
devaluation	leértékelés
devalue	leértékel
devastate	elpusztít
devastate	letarol
devastating	pusztitó
devastating	elsöprô
devastation	pusztítás
devastation	pusztulás
develop	fejleszt
develop	kiaknáz
develop	hasznosít
developed	fejlett
developer	elôhívószer
developing	fejlôdô
development	fejlôdés
development	fejlesztés
development	kifejtés
development	elôhívás (filmé)
deviation	eltérés
deviation	elhajlás
device	eszköz
device	szerkezet
device	készülék
devil	ördög
devilish	ördögi
devilish	pokolian
devil-may-care	nemtörôdöm
devilment	ördöngôsség
devious	kanyargós
devious	körmönfont
devise	végrendelkezés
devoid	mentes
devote	szentel
devoted	hû
devoted	odaadó
devotee	hive vmnek
devotion	áhitat
devotion	odaadás
devour	elnyel
devour	elpusztít
devout	ájtatos
devout	jámbor
dew	harmat
dewy	harmatos
dexterity	ügyesség
dexterity	fürgeség
dexterous	ügyes
dexterous	jobbkezes
diabetes	cukorbaj
diagnose	diagnozál
diagnosis	diagnózis
diagonal	átlós
diagonal	átló
diagram	ábra
dial	számlap
dial	napóra
dial	tárcsa
dial	tárcsáz
dialect	tájszólás
dialect	nyelvjárás
dialing	tárcsázás
dialog	párbeszéd
dialogue	párbeszéd
diamond	gyémánt
diamond	rombusz
diamond	káró
diaper	pelenka
diary	napló
dibble	palántáz
dice	kocka
dice	kockára vág
dicker	alkudozik
dictate	parancs
dictate	diktál
dictate	tollbamond
dictation	tollbamondás
dictator	diktátor
dictatorship	diktatúra
dictionary	szótár
dictionary	lexikon
did	do
die	játékkocka
die	meghal
dielectric	dielektromos
diet	diéta
diet	étrend
diet	diétázik
differ	különbözik
difference	különbség
difference	nézeteltérés
different	különbözô
differential	megkülönböztetô
differentiation	megkülönböztetés
difficult	nehéz
difficult	bajos
difficulty	nehézség
difficulty	akadály
diffidence	félénkség
diffident	félénk
diffident	bátortalan
diffuse	terjengôs
diffuse	áraszt
diffuse	sugároz
diffused	szórt (fény)
diffusion	szétterjedés
diffusion	szétszóródás
dig	ás
digest	kivonat
digestible	emészthetô
digger	földmunkás
digging	ásás
digging	ásatás
digit	ujj
digit	számjegy
digital	digitális
dignify	megtisztel
dignify	kitüntet
dignity	méltóság
digress	elkalandozik
digression	eltérés
dike	védôgát
dike	töltés
diligence	szorgalom
diligent	szorgalmas
dill	kapor
dilute	hígított
dilute	hígít
dim	homályos
dim	elhomályosul
dimension	kiterjedés
dimension	dimenzió
dimension	méret
diminish	csökkent
diminish	kisebbit
diminished	csökkentett
diminished	szûkített
dimmed	tompított
din	zaj
din	zajong
dine	étkezik
dine	ebédel
dine	vacsorázik
diner	étkezô
dinghy	gumicsónak
dingy	piszkos
dining	dine
dinner	ebéd
dinner	vacsora
dinner	fôétkezés
dint	erôszak
dip	bemártás
dip	megmártózás
dip	merül
dip	lejt
dip	merít
diplomacy	diplomácia
dipped	tompított
dipper	búvár
dipper	búvármadár
dipper	merôkanál
dip-rod	olajszintjelzô
dire	szörnyû
dire	irtózatos
direct	egyenes
direct	közvetlen
direct	haladéktalan
direct	irányít
direction	irány
direction	irányítás
direction	címzés
direction	utasítás
directive	irányadó
directive	utasítás
directly	mindjárt
directly	közvetlenül
directly	egyenesen
directly	nyíltan
director	igazgató
director	rendezô
directory	címtár
directory	telefonkönyv
directory	igazgatóság
dirigible	kormányozható
dirk	tôr
dirt	piszok
dirt	föld
dirt	salak
dirty	piszkos
dirty	erkölcstelen
