a	et
loving, fond	kjærlig
low	simpel
low, deep, profound, depth	dyp
low, lichen	lav
lower	nedre
lower	under-
lower, four	fire
lower, inferior	lavere
lownecked	utringet
loyal	lojal
loyal, faithful	trofast
loyalty	lojalitet
lozenge	pastill
lubricant	smøremiddel
lubrication	smøring
luck	hell
lucky, fortunate	heldig
lucrative	innbringende
lucrative	lønnsom
ludicrous, laughable	latterlig
lug	slepe
luggage	reisegods
lukewarm	lunken
lull	opphold
lullaby	vuggesang
lumber	tømmer
lumber, junk	skrap
luminous	selvlysende
lump	hevelse
lump	klump
lump	klumpe
lunar	måne-
lunatic	galning
lung	lunge
lunge	utfall
lurch	krenging
lurch	sjangle
lure, bait	lokkemat
lurid, fervent	glødende
lurk	ligge på lur
luscious, dainty	lekker
lust	lyst
lust	vellyst
lustful, lascivious	vellystig
lustrous	skinnende
luxurious	luksuriøs
luxury	luksus
lye	lut
lymphatic node	lymfeknute
lynch	lynsje
lynx	gaupe
lyric	lyrisk
lyrics	sangtekster
lyrics	vers
macaroon	makron
mace	septer
machine, machine, engine	maskin
machinery	maskineri
mackerel, mackerel	makrell
mackintosh	regnfrakk
mad	gal
mad, furious, madden	rasende
madam	frøken
madden	gjøre gal
madness, lunacy	galskap
magazine	lagerbygning
magazine	magasin
maggot, caterpillar, grub	larve
magic	magi
magic wand	tryllestav
magic, magical	magisk
magician	magiker
magician	trollmann
maid	kammerpike
maid	stuepike
maid	værelsepike
maize, mealies, corn, indian corn	mais
major road	vei med forkjørsrett
make-up	sminke
male cook, cook	kokk
man, human being, human being	menneske
mantle	kåpe
marble	klinkekule
March	mars
marmelade	marmelade
marriage, matrimony	ekteskap
match	fyrstikk
matter, business deal, business, case, affair	anliggende
mattress	madrass
mature, ripe	moden
May	mai
meal, flour	mel
meat, flesh	kjøtt
medicine, drug, pharmaceutical	medisin
melon	melon
menu	spisekart
menu, card, map	kart
merchant, grocer	kjøpmann
messenger	budbringer
metal	metall
meter, metre	meter
methylated spirit	denaturert sprit
metropolis, capital city	hovedstad
milk	melk
minced meat	kjøttkaker
mineral	malm
minute	minutt
mirror, glass	speil
mistake, error	mistak
misunderstanding	misforstælse
monday	mandag
money	penger
money order	postanvisning
month	måned
moon, moon	måne
moor	fortøye
moped	moped
morning	morgen
mother	mor
mother-in-law	svigermor
motion picture, film, movie	film
motor, engine	motor
motorcycle	motorsykkel
mountain	fjell
mouse	mus
mousepad	mus-matte
mouth	munn
move, induce	bevege
multimedia	multimedia
museum	museum
mushroom, fungus	sopp
music	musikk
mustard	sennep
nail	negl
nail	spiker
nail-varnish	neglelakk
name, appellation	navn
napkin	serviett
narrow	smal
narrow, cramped	trang
nature	natur
near to, nearby, by, close, beside, next to	nær
neck	hals
needle	nål
needle, pin	knappenål
neighbour, neighbor	nabo
nephew	nevø
nervous, jittery, excitable, jumpy, fraught	nervøs
neutral	nøytral
never	aldri
new, novel, fresh	ny
night	natt
nine	ni
nineteen	nitten
ninety	nitti
ninth	niende
nipple	brystvorte
no, not	ikke
noise	støy. bråk
noise, din, din, ado	larm
noon, midday meal, dinner, midday	middag
north	nord
norwegian	norsk
not, no	ne
note, ticket, bill	billett
nourishment	næring
November	november
null, naught, zilch, zero, nought	null
number, amount	nummer
numberplate	nummerskilt
nurse	sykepleierske
nut	mutter
nut	nøtt
nylon	nylon
oak	eik
oar	åre
oats	havre
object, thing, article	ting
October	oktober
office, bureau	kontor
oil	olje
okay, good, nice	god
old, ancient	gammel
olive	oliven
omelet, omelette	omelett
on the right	høyre
on top, upstairs, above, overhead	ovenpå
on, upon, in	på
one hundred, hundred, hundred	hundre
one thousand, thousand	tusen
one, a	en
one-way traffic	enveiskjøring
onerous, burdensome, heavy, hard	tung
onion	løk
open, frank	åpen
opera	opera
orange	appelsin
orange-coloured	orange
out, abroad, outside	utenfor
outer cover, tyre	dekk
over, above	over
overcoat, coat	frakk
packet, parcel	pakke
padlock	hengelås
pain	smerte
painter	maler
panic	panikk
pants, trousers	benklær
paper	papir
paper, document	dokument
parachute	fallskjerm
parents	foreldre
park	park
parsley	persille
partridge	åkerhøne
passport	pass
paste	lime inn
pate, head	hode
path	sti
pattern, specimen, sample	mønster
paw, foot, feet	fot
paw, leg, bone	ben
pay	betale
pea	ert
peace	fred
peach	fersken
pear, bulb, pear	pære
pedal	pedal
pelvis, bowl	skål
pen	penn
pen-knife	lommekniv
pencil	blyant
pepper	pepper
perform, do, make	gjøre
periodical, magazine, newspaper	tidskrift
petticoat	underskjørt
photographer	fotograf
physician	dokter
piano	piano
pick	pirke
pick	plukke i
pick, elect	velge
pick, hack, hoe	hakke
picture, painting	maleri
pill, husk	pille
pillow	hodepute
pilot	los
pincers	knipetang
pineapple, pine-apple	ananas
pink, pink	rosa
pipe, tube, channel	rør
piston	stempel
pitcher, jug, jar	krukke
plain, distinct, liquid, lucid, clear, limpid	klar
planets	planeter
plaster	plaster
platform, wharf	kai
platter, plate, course, dish	tallerken
please	vær så god
plug, spark plug	tennplugg
plum	plomme
plumber	rørlegger
pocket	lomme
poison	gift
police	politi
police-station	politistasjon
policeman	politikonstabel
poor	stakkars
poor, miserable	fattig
population	befolkning
pork	svinekjøtt
port, harbour	havn
portable	transportabel
porter	bybud
porter	bærer
porter	portier
Portuguese	Portugisisk
possibly, maybe, perhaps	kanskje
post office, post-office	postkontor
postcard	brevkort
postman	postbud
pot, jug	gryte
potato	potet
poverty	fattigdom
powder	pulver
powder, cosmetic powder	pudder
prescription, recipe	resept
present	presang
pressing, urgent	inntrengende
price, award	pris
prime minister	statsminister
print, duplicate	kopiere
printer	skriver
probably	muligens
probably, likely	sannsynligvis
prodigy	vidunder
profession	yrke
property, quality	kvalitet
provider	leverandør
public enemy	samfunnsfiende
pudding	pudding
pulse	puls
pump	pumpe
purchase, buy	kjøpe
purple	purpur
purpose, goal, measure, measurement, gauge	mål
purse, wallet	pengepung
purse, wallet	pung
quack	kvaksalver
quack	snadring
quadrangular	firkantet
quail	bli redd
quail	vaktel
quaint	eiendommelig
quaint	underlig
quake, quaver, quiver	skjelve
qualification	forutsetning
qualification	kvalifikasjon
qualify	kvalifisere
qualify	modifisere
qualitative	kvalitativ
quality	egenskap
qualms	betenkeligheter
qualms	skrupler
quantity	kvantitet
quantity, crowd	mengde
quarantine	karantene
quarrel	krangel
quarrel	krangle
quarrel	trette
quarrelsome	kranglesyk
quarry	bryte stein
quarry	jaktbytte
quarry	steinbrudd
quarter	fjærdedel
quarter	kvartal
quarter	kvarter
quaver	åttendedelsnote
quaver, quake, quiver	skjelving
queazy	kvalm
queen	dronning
queer	homofil
queer	rar
quell	undertrykke
quench	slukke
quench	slå ned
querulous	klagende
quest	leting
question, issue	spørsmål
questioning	avhør
questionnaire	spørreskjema
quibble	krangle om detaljer
quibble	liten uenighet
quibbling	ordkløveri
quickly, swiftly, jaunty	kvikk
quickness	raskhet
quickwitted	slagferdig
quickwitted	snartenkt
quid	pund
quiet	stillhet
quiet, silent	stille
quieten	berolige
quieten	roe ned
quilt	lappeteppe
quilt	vatteppe
quilted	vattert
quinine	kinin
quirk	særhet
quirk, caprice, freak	lune
quite	javisst
quite, altogether	ganske
quits	kvitt
quits	skuls
quiver	kogger
quiver, quaver	vibrere
quizzical	ertende
quota	andel
quota	kvote
quotation	notering
quotation	sitat
quotationmark	anførselstegn
quote	notere
quote	sitere
rabbit	kanin
radio	radio
railway platform, wharf, platform	perrong
rain	regn
raincoat	regnfrakke
raspberry	bringebær
rat	rotte
razor	barberkniv
razor-blade	barberblad
read	lese
realize, get, grasp, figure out, gather, realise	forstå
rear wheel, back wheel, hind wheel	bakhjul
rear-light, rear-lamp, tail-light	baklys
receipt	kvittering
receive, take in, take, accept	godta
recent, well, fresh, good	frisk
recieve	motta
reciever	mottaker
record-player	platespiller
red, red	rød
reek, smell, give off an odour	lukte
register, record	innskrive
rejected	avslått
release, desert, abandon, forgive	forlate
religion	religion
remote, gaunt, lonely, immense, lonesome, dreary	ensom
rent money, rent, hire, lease	leie
repeat	gjenta
resist	motstå
resistance	motstand
resources, remedy, means, tool	middel
rest, repose	hvile
restaurant	restaurant
retardation, delay	forsinkelse
return-ticket	returbillett
revue, magazine, magazine, periodical, gazette	tidsskrift
rhythm	rytme
rice	ris
rifle, gun	gevær
right, to the right	til høyre
rim	felg
ring	ring
risk	risiko
river	elv
river	flod
road, way, route	vei
roast, toast, fry	steke
rod, pole	stang
roll	bolle
rolling-pin	kjevle
roof, hold	tak
root	rot
rope, string	tau
round, rope, string	reip
rubber, gum	gummi
run	løpe
rye	rug
sack, bag	sekk
sack, bag	veske
saddle, sitting-room, sitting room, parlour, hall	sal
safety-belt, lifebelt	livbelte
safety-pin, safety pin	sikkerhetsnål
sailor	sjømann
sallow, pale	blek
salmon	laks
salt	salt
sand	sand
satellite	satelitt
saturday	lørdag
sauce	saus
saucer	koppeskål
sausage	pølse
saw	sag
scar	arr
schedule, time-table	rutetabell
scholar, student	student
school, school	skole
science	vitenskap
scissors	saks
scold, reproach, rebuke, reprove	dadle
scrap, rag	klut
screw	skrue
screwdriver	skrujern
sea	hav
seagull, gull	måke
second	andre
see, call on, visit, attend	besøke
see, come across, encounter, meet	møte
self-esteem	selvtillit
sell, vend, dispose of	selge
sender	avsender
September	september
serpent, snake	orm
servant, maid	hushjelp
seven	sju
seventeen	sytten
seventh	syvende
seventy	sytti
sew	sy
sexual intercourse	samleie
shack, cottage, hut, cabin, lodge	hytte
shadow	skygge
share, part, piece	del
shark	hai
shave	barbere
shaving-brush	barberkost
shawl	sjal
shear, cliff, cut, clip, fleece	klippe
sheep	får
sheet	laken
sheet, leaves, leaf	blad
shifting spanner, monkey-wrench	skiftenøkkel
shirt	skjorte
shirt	trøye
shock-absorber	støtfjær
shoe	sko
shoemaker	skomaker
shop, store, boutique	butikk
short circuit	kortslutning
short, brief	kort
shotgun, hail	hagle
shoulder	skulder
shout, scream, cry out	skrike
shower	dusj
sick-note	sykemelding
sickleave	sykepermisjon
sight, view	utsikt
sign	signere
sign	skilt
signature	underskrift
signpost	veiviser
silk	silke
silver, silver	sølv
simplify	forenkle
since, because, for the reason that	fordi
sing	synge
sister	søster
sister-in-law	svigerinne
sit	sitte
sitting room, livingroom, sitting-room	dagligstue
six	seks
sixteen	seksten
sixth	sjette
sixty	seksti
skate	skøyte
skateboard	rullebrett
skeleton, framework, frame	skjelett
skeptic	skeptisk
ski	ski
skipping rope	hoppe tau
sky, heaven	himmel
sleep	søvn
sleeping-car	sovevogn
sleepingbag	sovepose
sleigh	slede
slender, thin, gaunt, lean	tynn
slow	langsom
slow train	somletog
small, young, diminutive	liten
smoke, fume	røyk
smokers	røyke-kupé
snack, lunch	lunsj
snifter, dram, snorter, peg, nip	dram
snow	sne
soap	såpe
society, association	forening
sock	sokk
sofa	sjeselong
sofa, couch	sofa
soft	bløt
soldier, pawn	soldat
solution	oppløsning
somber, miserable, dismal, bleak, sad, gaunt	sturen
son	sønn
soup	suppe
sour, acid, bitter, grumpy, crabby, tart	sur
south	syd
spare time, time off, holiday, vacation	ferie
spark	gnist
speak, talk	snakke
speak, talk	tale
speed	fart
speed-limit, speed limit	fartsgrense
spice	kryddek
spider	edderkopp
spinach	spinat
spread, smear, lubricate, anoint	smøre
spring, fountain, source, fountain	kilde
spring, springtime	vår
square, public square, spot, plaza, ground, place	plass
stab, sting, jab	stikke
stage	scene
stage, station, stop	stasjon
stairs, staircase	trappe
stamp, postage stamp	frimerke
stand, abide	stå
star, star	stjerne
stars	stjerner
starter	starter
station-master	stasjonmester
statue	statue
steak, beefsteak	biff
steal, lift	stjele
steamship	dampbåt
steel, steel	stål
stick, cane, baton	stokk
stone, stone, rock	stein
stone-chippings, broken stones, chippings, rubble	steinsprut
stop	holdeplass
stop	stoppested
storage battery, battery, accumulator	akkumulator
storm, tempest, gale	storm
strange, foreigner, alien, stranger	fremmed
strawberry	jordbær
stream	å
street	gate
streetcar, tram	trikk
stroll, walk	spasertur
strong	sterk
stumble, falter	snuble
sty, stall, stable	stall
subway, underground	undergrunnsbane
suck	suge
sufficient, enough	nok
sugar	sukker
sum, amount	beløp
summer	sommer
sun	sol
sun-glasses	solbriller
sunday	søndag
sunset	solnedgang
supper, evening meal	aftens
supply, hand, deliver	levere
surprise	overraske
swaddling cloth, diaper	bleie
sweater	genser
swift, fast, speedy, rapid	hurtig
swim	svømme
swimming trunks	badebukse
swimming-bath	svømmebad
swimming-bath	svømmeplass
switch	bryter
table	bord
tailor	skredder
take, occupy	besette
tank	tank
tardy	sen
taste, flavour	smak
taxi, cab	drosje
tea	te
teach, learn	lære
teeth	tenner
telegram	telegram
telephone	telefon
television, tv	fjernsyn
ten	ti
tendinous ligament	senebånd
tent	telt
tenth	tiende
test, attempt	prøve
thanks, thank you	takk
that, which, who, which one	hvem
theatre	teater
thermos bottle, thermos flask, thermos	termosflaske
they, them	de
thief	tyv
think	tenke
third	tredje
thirst	tørst
thirteen	tretten
thirty	tredve
thread	tråd
three, tree	tre
throat, gorge	strupe
thumb	tommelfinger
thunder	torden
thursday	torsdag
ticket-window, window, hatch	luke
tickle	kile
ticklish	kilen
tie, necktie	slips
tiger	tiger
time	tid
time, hour	time
time-table, schedule	timeplan
tin, glare, glance, look, tin can, can	blikk
tin-opener	hermetikkåpner
tip, gratuity	drikkepenger
tired	trøtt
to the left	til venstre
to-day, today	i dag
tobacco	tobakk
toe	tå
toenail	tånegl
together	sammen
toilet	WC
toilet, lavatory, loo	toalett
toilet-paper	toalett-papir
tomato	tomat
tomato juice	tomato
tomato-soup	tomatsuppe
tomorrow	i morgen
tongs	tange
tongue, language	språk
tongue, sole	tunge
tonight	i natt
tooth, tooth	tann
tooth-brush	tannbørste
tooth-paste	tannkrem
tourist agency, travel agency	reisebyrå
towel	håndkle
tower	tårn
towing-line	slepetau
townhall, town hall, city hall, town-hall	rådhus
toy	leketøy
traffic	trafikk
train	tog
tram, streetcar	sporvogn
transfusion	overføring
translate	oversette
transmit, send	sende
transparant, limpid	gjennomsiktig
travel, ride, go	kjøre
trip, travel, voyage, erect, journey, leave	reise
trousers, pants	bukser
true	sann
trunk	kuffert
truth, truth, reality	sannhet
tube, valve	ventil
tuesday	tirsdag
tulip	tulipan
turkey	kalkun
turn off	slå av
turnpike, super highway, motor road, motorway	autobane
twelve	tolv
twenty	tjue
twenty	tyve
two	to
typewriter	skrivemaskin
uglyness	styggedom
umbrella	paraply
uncle	onkel
unconscious	bevisstløs
undergarment	underkjole
underground, subway	undergrunn
underneath, below, down	ned
underpants, panties	underbukse
unleaded	blyfri
until, into, for	til
upset, turn over, overthrow, capsize, turn	kantre
upstairs, on top, overhead, above	oppe
upwards, here, up	hit
vacant	vakant
vacant, unoccupied, disengaged, free	ledig
vaccine	vaksinasjon
valid, good	gyldig
valley	dal
vanity bag, lady's bag	dameveske
veal	kalvekjøtt
vegetable	grønsak
velvet	fløyel
venerical	venerisk
very much, very	meget
victim	offer
videotape	videobånd
village	bygd
village	landsby
vinegar	eddik
violence, contravention, infringement	overtredelse
violet	fiolett
violin	fiolin
visit	visitt
vocabulary	vokabular
vocabulary, dictionary	ordbok
waiter	kelner
waiting-room	venterom
wake	våkne
wake up	vekke opp
wake up	våkne opp
wake, arouse, awaken	vekke
wall	vegg
wallet, stock exchange, purse	børs
wallpaper	tapet
war	krig
wardrobe	garderobe
warehouse	varehus
wash	vaske
water, lotion	vann
water-bottle, flask, canteen	feltflaske
way out, exit	utgang
way, custom	bruk
wealthy, well-off, rich	rik
weather	væer
wedding, wedding-party	bryllup
wednesday	onsdag
week	uke
weight	vekt
west, vest, waistcoat, west	vest
wet	våt
whale	hval
what for, why	hvorfor
wheat	hvete
wheel	hjul
where	hvor
whipped cream	fløtekrem
whisk	visp
white, white, blank	hvit
wind	vind
window	vindu
wine	vin
wing	vinge
wingnut	vingemutter
winter	vinter
with	med
woman, female	kvinne
women	kvinner
wood, in, about, timber, at	ved
woods, forest, forest	skog
wool, fleece	ull
word	ord
work out, calculate	regne
world, earth, world	verden
worth, value	verdi
wrench, key	nøkkel
wrist-watch, watch	armbåndsur
write, type	skrive
wrong, erroneous, mistaken	urett
x-ray	røntgen
xenophobia	fremmedhat
yacht	lystbåt
yacht	yacht
yachting	seiling
yap	gneldre
yard	yard
yarn, fairytale	skrøne
yarnreel	garnvinde
yawn	gjesp
yawn	gjespe
year	år
yearly, annual	årlig
yeast	gjær
yell, howl	hyl
yell, howl	hyle
yellow	gul
yellowish	gulaktig
yelp, bark, yap	bjeff
yelp, bark, yap	bjeffe
yes	ja
yesterday	i går
yet	dog
yet	enda
yet	ennå
yet	likevel
yew	barlind
yield	utbytte
yield	yte
yield	ytelse
yoke	forspann
yoke	spenne i åk
yoke	åk
yolk	eggeplomme
yonder, there	der
you	De
you	deg
you	Dem
you	dere
you	du
you	man
young	ung
your	dine
your	ditt
your, yours	deres
your, yours	din
yourself	de selv
yourself	du selv
yourselves	Dem selv
yourselves	dere selv
youth hostel	vandrerhjem
youth, juvenile	ungdom
zealot	svermer
zealous	nidkjær
zebra	sebra
zest	behag
zest	krydder
zipper	glidelås
zither	sitar
zodiac	dyrekretsen
zone	sone
zoologist	zoolog
zoology	zoologi
